Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
1.04293,5,0,12,-127.295
1.04293,1,0,19,-118.397
1.04293,7,0,18,-103.059
1.04293,3,0,11,-129.453
1.04293,5,0,15,-131.402
1.04293,1,0,20,-126.521
1.04293,7,0,14,-102.154
1.04393,7,0,3,-138.642
1.04393,7,0,4,-99.5214
1.04393,5,0,1,-130.522
1.04393,7,0,6,-131.855
1.04393,3,0,5,-104.821
1.04393,5,0,2,-95.3121
1.04393,1,0,16,-128.972
1.04393,7,0,13,-107.028
1.04393,5,0,8,-144.635
1.04393,5,0,12,-127.279
1.04393,1,0,19,-118.371
1.04393,7,0,18,-102.993
1.04393,3,0,11,-129.426
1.04393,1,0,20,-126.482
1.04393,7,0,14,-102.156
1.04393,1,0,10,-129.575
1.04393,7,0,9,-134.982
1.04393,3,0,7,-132.069
1.04393,1,0,17,-128.495
1.04393,5,0,15,-131.386
1.04493,7,0,3,-138.653
1.04493,7,0,4,-99.4756
