time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02181,8,2,3,1530,0.0109915
1.02196,2,1,3,1530,0.011378
1.02196,2,1,3,1530,0.0113529
1.02196,2,1,3,1530,0.0113278
1.02196,2,1,3,1530,0.0113026
1.02196,2,1,3,1530,0.0112775
1.02196,2,1,3,1530,0.0112524
1.02196,2,1,3,1530,0.0112273
1.02196,2,1,3,1530,0.0112022
1.02196,2,1,3,1530,0.011177
1.02196,2,1,3,1530,0.0111519
1.02196,2,1,3,1530,0.0111268
1.02196,8,1,3,1530,0.0113805
1.02196,8,1,3,1530,0.0113554
1.02196,8,1,3,1530,0.0113303
1.02196,8,1,3,1530,0.0113051
1.02196,8,1,3,1530,0.01128
1.02196,8,1,3,1530,0.0112549
1.02196,8,1,3,1530,0.0112298
1.02196,8,1,3,1530,0.0112047
1.02196,8,1,3,1530,0.0111795
1.02196,8,1,3,1530,0.0111544
1.02196,8,1,3,1530,0.0111293
1.02203,4,1,3,1530,0.0116617
1.02203,4,1,3,1530,0.0116366
1.02203,4,1,3,1530,0.0116114
1.02203,4,1,3,1530,0.0115863
1.02203,4,1,3,1530,0.0115612
1.02203,4,1,3,1530,0.0115361
1.02203,6,1,3,1530,0.0116567
1.02203,6,1,3,1530,0.0116315
1.02203,6,1,3,1530,0.0116064
1.02203,6,1,3,1530,0.0115813
1.02203,6,1,3,1530,0.0115562
1.02203,6,1,3,1530,0.0115311
1.02224,8,7,3,1530,0.0121372
1.02231,8,6,3,1530,0.011906
1.02231,8,6,3,1530,0.0118808
1.02231,8,6,3,1530,0.0118557
1.02231,8,6,3,1530,0.0118306
1.02231,8,6,3,1530,0.0118055
1.02239,2,5,3,1530,0.0112163
1.02239,2,5,3,1530,0.0111911
1.02239,2,5,3,1530,0.011166
1.02239,2,5,3,1530,0.0111409
1.02239,2,5,3,1530,0.0111158
1.02239,2,5,3,1530,0.0110907
1.02239,2,5,3,1530,0.0110655
1.02239,2,5,3,1530,0.0110404
1.02239,2,5,3,1530,0.0110153
1.02239,2,5,3,1530,0.0109902
1.02239,2,5,3,1530,0.0109651
1.02239,2,5,3,1530,0.0109399
1.02239,2,5,3,1530,0.0109148
1.02239,2,5,3,1530,0.0108897
1.02239,2,5,3,1530,0.0108646
1.02239,6,5,3,1530,0.0118053
1.02239,6,5,3,1530,0.0117802
1.02239,6,5,3,1530,0.0117551
1.02239,6,5,3,1530,0.01173
1.02239,6,5,3,1530,0.0117048
1.02239,6,5,3,1530,0.0116797
1.02239,6,5,3,1530,0.0116546
1.02246,4,3,3,1530,0.0107916
1.02246,4,3,3,1530,0.0107664
1.02246,4,3,3,1530,0.0107413
1.02246,4,3,3,1530,0.0107162
1.02246,4,3,3,1530,0.0106911
1.02246,4,3,3,1530,0.010666
1.02246,4,3,3,1530,0.0106408
1.02246,4,3,3,1530,0.0106157
1.02246,4,3,3,1530,0.0105906
1.02246,4,3,3,1530,0.0105655
1.02246,4,3,3,1530,0.0105404
1.02246,4,3,3,1530,0.0105152
1.02246,4,3,3,1530,0.0104901
1.02246,4,3,3,1530,0.010465
1.02246,4,3,3,1530,0.0104399
1.02246,4,3,3,1530,0.0104148
1.02246,4,3,3,1530,0.0103896
1.02246,4,3,3,1530,0.0103645
1.02246,4,3,3,1530,0.0103394
1.02246,4,3,3,1530,0.0103143
1.02246,4,3,3,1530,0.0102892
1.0226,6,4,3,1530,0.0113401
1.0226,6,4,3,1530,0.011315
1.0226,6,4,3,1530,0.0112899
1.0226,6,4,3,1530,0.0112647
1.0226,6,4,3,1530,0.0112396
1.0226,6,4,3,1530,0.0112145
1.0226,6,4,3,1530,0.0111894
1.0226,6,4,3,1530,0.0111643
1.0226,6,4,3,1530,0.0111391
1.0226,6,4,3,1530,0.011114
1.0226,6,4,3,1530,0.0110889
1.0226,6,4,3,1530,0.0110638
1.0226,6,4,3,1530,0.0110387
1.0226,6,4,3,1530,0.0110135
1.0226,6,4,3,1530,0.0109884
1.0226,8,4,3,1530,0.0121854
1.0226,8,4,3,1530,0.0121603
1.0226,8,4,3,1530,0.0121352
1.0226,8,4,3,1530,0.01211
1.0226,8,4,3,1530,0.0120849
1.02274,4,2,3,1530,0.0117028
1.02274,4,2,3,1530,0.0116776
1.02274,4,2,3,1530,0.0116525
1.02274,4,2,3,1530,0.0116274
1.02274,4,2,3,1530,0.0116023
1.02274,4,2,3,1530,0.0115772
1.02274,4,2,3,1530,0.011552
1.02274,4,2,3,1530,0.0115269
1.02274,4,2,3,1530,0.0115018
1.02274,4,2,3,1530,0.0114767
1.02274,4,2,3,1530,0.0114516
1.02274,4,2,3,1530,0.0114264
1.02274,2,3,3,1530,0.0118912
1.02274,2,3,3,1530,0.011866
1.02274,2,3,3,1530,0.0118409
1.02274,2,3,3,1530,0.0118158
1.02274,2,3,3,1530,0.0117907
1.02274,2,3,3,1530,0.0117656
1.02274,2,3,3,1530,0.0117404
1.02274,2,3,3,1530,0.0117153
1.02274,2,3,3,1530,0.0116902
1.02274,2,3,3,1530,0.0116651
1.02274,6,3,3,1530,0.0126561
1.02274,8,3,3,1530,0.0118962
1.02274,8,3,3,1530,0.0118711
1.02274,8,3,3,1530,0.0118459
1.02274,8,3,3,1530,0.0118208
1.02274,8,3,3,1530,0.0117957
1.02274,8,3,3,1530,0.0117706
1.02274,8,3,3,1530,0.0117455
1.02274,8,3,3,1530,0.0117203
1.02274,8,3,3,1530,0.0116952
1.02274,8,3,3,1530,0.0116701
1.02289,2,2,3,1530,0.0120315
1.02289,2,2,3,1530,0.0120064
1.02289,2,2,3,1530,0.0119813
1.02289,2,2,3,1530,0.0119561
1.02289,2,2,3,1530,0.011931
1.02289,2,2,3,1530,0.0119059
1.02289,2,2,3,1530,0.0118808
1.02289,2,2,3,1530,0.0118557
1.02289,2,2,3,1530,0.0118305
1.02289,2,2,3,1530,0.0118054
1.02289,8,2,3,1530,0.0120378
1.02289,8,2,3,1530,0.0120127
1.02289,8,2,3,1530,0.0119875
1.02289,8,2,3,1530,0.0119624
1.02289,8,2,3,1530,0.0119373
1.02289,8,2,3,1530,0.0119122
1.02289,8,2,3,1530,0.0118871
1.02289,8,2,3,1530,0.0118619
1.02289,8,2,3,1530,0.0118368
1.02289,8,2,3,1530,0.0118117
1.02303,4,1,3,1530,0.012511
1.02303,4,1,3,1530,0.0124858
1.02303,4,1,3,1530,0.0124607
1.02303,4,1,3,1530,0.0124356
1.02303,4,1,3,1530,0.0124105
1.02303,4,1,3,1530,0.0123854
1.02303,2,1,3,1530,0.0121731
1.02303,2,1,3,1530,0.012148
1.02303,2,1,3,1530,0.0121229
1.02303,2,1,3,1530,0.0120977
1.02303,2,1,3,1530,0.0120726
1.02303,2,1,3,1530,0.0120475
1.02303,2,1,3,1530,0.0120224
1.02303,2,1,3,1530,0.0119973
1.02303,2,1,3,1530,0.0119721
1.02303,2,1,3,1530,0.011947
1.02303,6,1,3,1530,0.0125059
1.02303,6,1,3,1530,0.0124808
1.02303,6,1,3,1530,0.0124557
1.02303,6,1,3,1530,0.0124306
1.02303,6,1,3,1530,0.0124055
1.02303,6,1,3,1530,0.0123803
1.02303,8,1,3,1530,0.0121756
1.02303,8,1,3,1530,0.0121505
1.02303,8,1,3,1530,0.0121254
1.02303,8,1,3,1530,0.0121003
1.02303,8,1,3,1530,0.0120751
1.02303,8,1,3,1530,0.01205
1.02303,8,1,3,1530,0.0120249
1.02303,8,1,3,1530,0.0119998
1.02303,8,1,3,1530,0.0119747
1.02303,8,1,3,1530,0.0119495
1.02324,8,7,3,1530,0.0131121
1.02331,8,6,3,1530,0.0127804
1.02331,8,6,3,1530,0.0127552
1.02331,8,6,3,1530,0.0127301
1.02331,8,6,3,1530,0.012705
1.02331,8,6,3,1530,0.0126799
1.02331,8,6,3,1530,0.0126548
1.02339,2,5,3,1530,0.0118395
1.02339,2,5,3,1530,0.0118143
1.02339,2,5,3,1530,0.0117892
1.02339,2,5,3,1530,0.0117641
1.02339,2,5,3,1530,0.011739
